time_segment,VisitorCount,DayOfWeek,is_official_holiday,is_school_holiday,is_bridge_day,Weekday,Month,Winter,Spring,Summer,Autumn,after_holiday,after_bridge,after_school_holiday,precip_quantity,temp_avg,wind_speed_10m,humidity_rel_shelter_avg,pressure,sun_duration
AfterNoor,46,Friday,0,1,0,4,1,1,0,0,0,0,0,0,0.12,3.9,2.48,92.28,1037.73,0
Morning,123,Friday,0,1,0,4,1,1,0,0,0,0,0,0,0.12,3.9,2.48,92.28,1037.73,0
Noon,83,Friday,0,1,0,4,1,1,0,0,0,0,0,0,0.12,3.9,2.48,92.28,1037.73,0
Morning,100,Saturday,0,1,0,5,1,1,0,0,0,0,0,1,2.52,5.92,3.5,97.87,1033.61,0
Noon,84,Saturday,0,1,0,5,1,1,0,0,0,0,0,1,2.52,5.92,3.5,97.87,1033.61,0
AfterNoor,25,Monday,0,0,0,0,1,1,0,0,0,0,0,1,3.01,6.43,3.12,97.35,1029.72,0
Noon,66,Monday,0,0,0,0,1,1,0,0,0,0,0,1,3.01,6.43,3.12,97.35,1029.72,0
AfterNoor,14,Tuesday,0,0,0,1,1,1,0,0,0,0,0,0,2.54,6.92,5.88,83.14,1020.15,35.17
Morning,34,Tuesday,0,0,0,1,1,1,0,0,0,0,0,1,2.54,6.92,5.88,83.14,1020.15,35.17
Noon,29,Tuesday,0,0,0,1,1,1,0,0,0,0,0,0,2.54,6.92,5.88,83.14,1020.15,35.17
AfterNoor,33,Wednesday,0,0,0,2,1,1,0,0,0,0,0,0,1.38,4.51,3.68,80.95,1021.34,205.25
Morning,44,Wednesday,0,0,0,2,1,1,0,0,0,0,0,0,1.38,4.51,3.68,80.95,1021.34,205.25
Noon,44,Wednesday,0,0,0,2,1,1,0,0,0,0,0,0,1.38,4.51,3.68,80.95,1021.34,205.25
AfterNoor,18,Friday,0,0,0,4,1,1,0,0,0,0,0,0,2.97,5.79,2.94,97.17,1025.23,10
Morning,53,Friday,0,0,0,4,1,1,0,0,0,0,0,0,2.97,5.79,2.94,97.17,1025.23,10
